,tweet_id,retweet_count,favorite_count
0,892420643555336193,7007,33811
1,892177421306343426,5301,29329
2,891815181378084864,3480,22049
3,891689557279858688,7226,36939
4,891327558926688256,7758,35310
5,891087950875897856,2600,17812
6,890971913173991426,1662,10363
7,890729181411237888,15753,56865
8,890609185150312448,3619,24524
9,890240255349198849,6098,27959
10,890006608113172480,6154,27032
11,889880896479866881,4166,24563
12,889665388333682689,8349,42058
13,889638837579907072,3715,23675
14,889531135344209921,1881,13352
15,889278841981685760,4443,22116
16,888917238123831296,3760,25639
17,888804989199671297,3535,22466
18,888554962724278272,2877,17315
19,888078434458587136,2892,19151
20,887705289381826560,4533,26622
21,887517139158093824,9848,40719
22,887473957103951883,15024,60189
23,887343217045368832,8814,29591
24,887101392804085760,4989,26985
25,886983233522544640,6316,30383
26,886736880519319552,2631,10502
27,886680336477933568,3735,19737
28,886366144734445568,2629,18546
29,886267009285017600,4,105
30,886258384151887873,5287,24523
31,886054160059072513,93,0
32,885984800019947520,5611,28611
33,885528943205470208,5327,31602
34,885518971528720385,3106,18003
35,885311592912609280,15434,0
36,885167619883638784,3669,19251
37,884925521741709313,15023,67281
38,884876753390489601,4673,24386
39,884562892145688576,3909,21319
40,884441805382717440,4790,23863
41,884247878851493888,16918,63302
42,884162670584377345,2505,17943
43,883838122936631299,2861,19173
44,883482846933004288,8269,40214
45,883360690899218434,3079,19947
46,883117836046086144,5533,32518
47,882992080364220416,3246,20984
48,882762694511734784,4094,24791
49,882627270321602560,5062,24601
50,882268110199369728,9631,39196
51,882045870035918850,4080,25725
52,881906580714921986,2854,21440
53,881666595344535552,8958,44550
54,881633300179243008,8,113
55,881536004380872706,13399,43444
56,881268444196462592,4492,20477
57,880935762899988482,2333,15043
58,880872448815771648,3200,18712
59,880465832366813184,5212,25017
60,880221127280381952,3466,23671
61,880095782870896641,3652,24336
62,879862464715927552,2928,19702
63,879674319642796034,9,282
64,879492040517615616,2628,20706
65,879415818425184262,37450,92858
66,879376492567855104,2649,14857
67,879130579576475649,5739,0
68,879050749262655488,3955,19807
69,879008229531029506,2241,16784
70,878776093423087618,3432,17137
71,878604707211726852,5927,26439
72,878404777348136964,1077,0
73,878316110768087041,5526,0
74,878281511006478336,1077,6779
75,878057613040115712,5739,37148
76,877736472329191424,15805,69280
77,877611172832227328,70,0
78,877556246731214848,3168,19907
79,877316821321428993,4347,24153
80,877201837425926144,4630,23869
81,876838120628539392,2804,18212
82,876537666061221889,3973,21048
83,876484053909872640,2000,16566
84,876120275196170240,3903,24686
85,875747767867523072,3583,22106
86,875144289856114688,4156,19409
87,875097192612077568,5115,24245
88,875021211251597312,3972,22545
89,874680097055178752,3919,24603
90,874434818259525634,12213,0
91,874296783580663808,3482,22969
92,874057562936811520,3377,20117
93,874012996292530176,8591,30130
94,873580283840344065,3343,21381
95,873337748698140672,1331,0
96,873213775632977920,1331,6321
97,872967104147763200,4561,24072
98,872820683541237760,3166,13072
99,872620804844003328,3067,18326
100,872486979161796608,7718,36093
101,872122724285648897,6827,30237
102,871879754684805121,9248,33110
103,871762521631449091,2970,17888
104,871515927908634625,2941,17890
105,871166179821445120,4893,0
106,871102520638267392,4680,18536
107,871032628920680449,3223,20158
108,870804317367881728,5284,29802
109,870726314365509632,3,105
110,870656317836468226,2206,10889
111,870374049280663552,22751,73957
112,870308999962521604,3549,19482
113,870063196459192321,7076,32419
114,869772420881756160,8697,38015
115,869702957897576449,5386,25061
116,869596645499047938,2639,14209
117,869227993411051520,3200,18139
118,868880397819494401,12263,57982
119,868639477480148993,1753,0
120,868622495443632128,4472,23644
121,868552278524837888,1753,8972
122,867900495410671616,3572,21608
123,867774946302451713,6256,30276
124,867421006826221569,2115,14352
125,867072653475098625,101,0
126,867051520902168576,6787,28717
127,866720684873056260,4131,17875
128,866686824827068416,2972,17139
129,866450705531457537,30208,108898
130,866334964761202691,12213,46622
131,866094527597207552,7169,0
132,865718153858494464,4851,22935
133,865359393868664832,4291,23615
134,865006731092295680,6674,25047
135,864873206498414592,7499,28870
136,864279568663928832,2583,13068
137,864197398364647424,7588,26643
138,863907417377173506,3592,18440
139,863553081350529029,3634,13685
140,863471782782697472,2092,0
141,863432100342583297,4554,21316
142,863427515083354112,80,1962
143,863079547188785154,953,7898
144,863062471531167744,2092,7527
145,862831371563274240,4460,17215
146,862722525377298433,3091,15336
147,862457590147678208,4254,18287
148,862096992088072192,20012,66323
149,861383897657036800,9272,32306
150,861288531465048066,3592,15356
151,861005113778896900,3339,14996
152,860981674716409858,1857,0
153,860924035999428608,679,0
154,860563773140209665,1857,6726
155,860524505164394496,4605,21260
156,860276583193509888,3074,16593
157,860184849394610176,5127,15023
158,860177593139703809,26763,0
159,859924526012018688,3585,17647
160,859851578198683649,3070,13976
161,859607811541651456,1365,16843
162,859196978902773760,26286,80588
163,859074603037188101,11974,30452
164,858860390427611136,7085,0
165,858843525470990336,3027,14131
166,858471635011153920,4264,19498
167,858107933456039936,2540,14243
168,857989990357356544,2267,14500
169,857746408056729600,9354,30828
170,857393404942143489,1444,5310
171,857263160327368704,3981,18255
172,857214891891077121,16,204
173,857062103051644929,148,0
174,857029823797047296,3493,17053
175,856543823941562368,2550,14833
176,856526610513747968,1654,10829
177,856288084350160898,15,487
178,856282028240666624,5585,25250
179,855862651834028034,21,303
180,855860136149123072,853,4408
181,855857698524602368,1862,10863
182,855851453814013952,16137,41915
183,855818117272018944,4816,24286
184,855459453768019968,7308,27115
185,855245323840757760,5268,0
186,855138241867124737,36,0
187,854732716440526848,5355,20702
188,854482394044301312,6028,26598
189,854365224396361728,4154,17210
190,854120357044912130,6600,29245
191,854010172552949760,2795,14842
192,853760880890318849,5118,26108
193,853639147608842240,8888,31575
194,853299958564483072,3172,14179
195,852936405516943360,1790,0
196,852912242202992640,1602,8256
197,852672615818899456,1914,13653
198,852553447878664193,3122,14912
199,852311364735569921,8887,30385
200,852226086759018497,6101,18364
201,852189679701164033,1419,10575
202,851591660324737024,3127,14972
203,851464819735769094,6319,22284
204,851224888060895234,5176,19063
205,850753642995093505,8091,28177
206,850380195714523136,2334,12090
207,850333567704068097,301,3188
208,850145622816686080,3400,15061
209,850019790995546112,4377,18799
210,849776966551130114,6827,27933
211,849668094696017920,4451,0
212,849412302885593088,2835,14686
213,849336543269576704,1695,10566
214,849051919805034497,7638,39054
215,848690551926992896,3930,23298
216,848324959059550208,4159,22856
217,848213670039564288,646,7545
218,848212111729840128,2722,15048
219,847978865427394560,2926,0
220,847971574464610304,396,0
221,847962785489326080,4584,21759
222,847842811428974592,1193,5019
223,847617282490613760,376,6473
224,847606175596138505,3095,17373
225,847251039262605312,3925,18993
226,847157206088847362,5262,18393
227,847116187444137987,2881,19894
228,846874817362120707,3555,18646
229,846514051647705089,10400,41247
230,846505985330044928,2764,13094
231,846153765933735936,8188,29131
232,846139713627017216,9176,28844
233,846042936437604353,2593,14832
234,845812042753855489,7880,27065
235,845677943972139009,4388,23452
236,845397057150107648,1622,7094
237,845306882940190720,4868,21648
238,845098359547420673,6953,0
239,844979544864018432,2317,12692
240,844973813909606400,2860,13948
241,844580511645339650,2821,15307
242,844223788422217728,1994,12710
243,843981021012017153,2701,14139
244,843856843873095681,4175,19986
